"mainclass_id","subcl","count_usa"
74,"044000",878
74,"60600R",700
74,"006000",649
74,"57900R",629
74,"334000",521
74,"333000",493
74,"552000",429
74,"42100R",428
74,"586000",396
74,"567000",392
74,"055000",391
74,"042000",380
74,"040000",377
74,"00700R",362
74,"405000",350
74,"390000",349
74,"017000",345
74,"56800R",345
74,"650000",345
74,"00100R",330
74,"053000",324
74,"002000",321
74,"607000",319
101,"415100",317
74,"425000",309
74,"057000",301
74,"505000",300
101,"378000",299
74,"422000",298
74,"343000",294
74,"600000",292
74,"127000",291
74,"48300R",290
74,"025000",285
74,"027000",282
74,"512000",282
74,"041000",274
101,"003100",270
74,"050000",260
74,"126000",256
74,"148000",255
74,"030000",254
74,"513000",254
74,"162000",253
74,"527000",253
74,"02200R",251
74,"582000",250
74,"721000",250
74,"355000",249
74,"569000",248
101,"401100",243
74,"410000",242
416,"013000",239
74,"110000",235
101,"032000",234
101,"369000",233
74,"519000",233
101,"035000",232
74,"491000",232
74,"57700R",231
74,"503000",230
74,"336500",229
74,"378000",228
101,"368000",227
74,"054000",225
74,"543000",225
74,"036000",224
106,"241000",224
74,"625000",224
101,"248000",222
74,"47100R",220
74,"580000",217
74,"156000",216
74,"522000",215
101,"247000",213
74,"375000",213
74,"016000",212
74,"473100",211
74,"595000",211
74,"143000",210
101,"336000",210
74,"142000",207
74,"526000",205
101,"375000",203
74,"151000",201
101,"474000",200
74,"339000",199
74,"841000",198
74,"417000",197
101,"DIG038",197
74,"018200",196
74,"377000",193
74,"482000",191
74,"57700S",189
74,"012000",188
74,"060000",187
416,"22700R",187
101,"211000",185
101,"409000",185
74,"502000",185
74,"037000",184
101,"424100",184
74,"395000",183
74,"119000",182
74,"359000",182
101,"028000",181
416,"24400R",179
101,"287000",179
74,"531000",179
74,"481000",178
101,"407100",176
106,"285000",173
74,"103000",172
101,"091000",171
101,"401200",171
74,"116000",170
74,"026000",169
74,"397000",169
101,"401300",169
101,"408000",169
74,"432000",168
106,"243000",167
101,"416100",167
74,"470000",167
74,"833000",164
416,"16800R",163
74,"603000",163
101,"381000",162
74,"423000",161
74,"445000",161
74,"485000",161
101,"364000",160
74,"548000",160
101,"133000",159
106,"228000",159
101,"096000",158
101,"110000",158
74,"056000",157
74,"100100",157
101,"111000",157
101,"395000",156
74,"436000",156
106,"036000",155
74,"460000",155
101,"066000",154
101,"129000",153
101,"232000",153
416,"237000",153
74,"594400",153
74,"128000",152
74,"609000",152
416,"176000",151
416,"19700A",149
204,"212000",148
101,"382100",148
74,"532000",148
74,"003000",147
74,"117000",147
101,"475000",147
416,"19700R",146
74,"332000",146
74,"342000",146
106,"222000",145
74,"371000",145
430,"396000",145
101,"227000",144
74,"348000",144
101,"365000",144
101,"023000",142
74,"096000",142
74,"33600R",142
101,"126000",141
74,"57900E",141
74,"370000",140
101,"425000",140
74,"565000",140
416,"119000",139
416,"19600R",139
74,"520000",139
74,"581000",139
101,"396000",138
74,"045000",137
101,"348000",137
74,"063000",136
416,"064000",136
101,"090000",136
74,"097100",135
416,"22300R",135
101,"109000",134
74,"015000",133
101,"019000",133
416,"20000R",133
74,"385000",133
74,"391000",133
101,"047000",131
74,"048000",131
74,"337000",131
74,"48400R",131
8,"094210",130
74,"604000",130
74,"108000",129
74,"364000",129
74,"538000",129
8,"917000",129
416,"007000",128
416,"014000",128
74,"563000",128
74,"102000",127
106,"270000",127
101,"417000",127
106,"203300",126
74,"499000",126
74,"013000",125
74,"553000",125
416,"008000",124
101,"114000",124
416,"118000",124
101,"379000",124
74,"557000",124
74,"018100",123
101,"020000",123
74,"105000",123
416,"17000R",123
106,"268000",123
74,"506000",123
74,"571110",123
416,"041000",122
74,"08400R",122
416,"21000R",122
101,"297000",122
74,"501600",122
74,"528000",122
74,"536000",122
74,"149000",121
106,"278000",121
74,"344000",121
74,"400000",121
416,"189000",120
74,"387000",120
74,"396000",120
416,"065000",119
74,"09900R",119
204,"266000",119
74,"551900",119
74,"564000",119
8,"918000",119
74,"010800",118
74,"109000",118
74,"324000",118
74,"346000",118
74,"596000",118
74,"014000",117
74,"325000",117
101,"350100",117
74,"537000",117
74,"157000",116
74,"169000",116
106,"219000",116
101,"226000",116
106,"284000",116
74,"42100A",116
101,"127100",115
74,"136000",115
101,"157000",115
416,"19600A",115
416,"228000",115
204,"269000",115
74,"592000",115
74,"031000",114
74,"070000",114
74,"075000",114
101,"377000",114
74,"571100",114
74,"590000",114
8,"921000",114
74,"024000",113
106,"033000",113
74,"089450",113
74,"140000",113
204,"242000",113
101,"367000",113
430,"501000",113
74,"504000",113
101,"027000",112
101,"383000",112
101,"415000",112
74,"591000",112
74,"66500R",112
74,"008000",111
416,"07000R",111
74,"462000",111
74,"086000",110
101,"180000",110
416,"243000",110
74,"081000",109
416,"16900R",109
416,"18600R",109
101,"228000",109
416,"238000",109
74,"330000",109
101,"351100",109
101,"366000",109
74,"576000",109
74,"615000",109
74,"00500R",108
101,"037000",108
416,"079000",108
74,"147000",108
416,"235000",108
74,"516000",108
8,"137000",107
74,"141000",107
416,"14600R",107
101,"212000",107
101,"213000",107
101,"220000",107
106,"311000",107
101,"420000",107
74,"500000",107
74,"535000",107
74,"842000",107
74,"111000",106
74,"144000",106
416,"175000",106
74,"363000",106
